,username,verified,topic2,topic4,topic13,topic26,topic54
140,@NewSouthPhoto,0,0,0,1,0,0
141,@MunsingLaw,0,0,0,0,0,0
142,@DemoLights,0,1,0,0,0,0
143,@edwardcjones3,0,1,0,0,0,0
144,@MiaShellyMac,0,0,0,0,0,0
145,@seanjvm,0,0,0,0,0,0
146,@that_girl_shep,0,0,0,0,0,0
147,@ImprovEric,0,0,0,0,0,0
148,@ScorpioLife64,0,0,0,0,0,0
149,@TaraBelle76,0,0,0,0,0,0
150,@jmspivey37,0,0,0,0,0,0
151,@tombiro,0,0,0,0,0,0
152,@vtmoses,0,0,1,0,0,0
153,@rebelsinexile,0,0,0,0,0,0
154,@Linda32156866,0,1,0,0,0,0
155,@anahapetian,0,1,0,0,0,0
156,@ellerymicheleko,0,1,0,0,0,0
157,@beckyking12,0,0,0,0,0,0
158,@susman28888,0,0,0,0,0,0
159,@PoliSciDiva,0,1,0,0,0,0
160,@StephenMarzola,0,0,0,0,0,0
161,@JetaimeLesMis,0,0,0,0,0,0
162,@giveMEunique,0,1,0,0,0,0
163,@fraufriedhoff,0,0,0,0,1,0
164,@TheyCallMeDaymz,1,0,0,0,0,0
165,@Buddhabman,0,0,1,0,0,0
166,@jarvis______,0,0,0,0,0,0
167,@832ajb,0,1,0,0,0,0
168,@mikepouraryan,0,0,0,0,0,0
169,@IAmPoliticsGirl,0,1,0,0,0,0
170,@MarcLobliner,1,1,0,0,0,0
171,@alexisy95,0,1,0,0,0,0
172,@JoMaHa,0,0,0,0,0,0
173,@TheValSimpson,0,1,0,0,0,0
174,@rnawyhousedogjm,0,0,0,0,0,0
175,@littleRxpharma,0,0,0,0,0,0
176,@thelongviewtom,0,0,0,0,0,0
177,@AdrianaDicen,0,0,0,0,0,0
178,@reaim_us,0,0,0,0,0,0
179,@thedcregulator,0,0,0,0,0,0
180,@Mistiiniowa,0,0,0,0,0,0
181,@Darmicbr,0,0,0,0,0,0
182,@runningbeam,0,0,0,0,0,0
183,@scannon27,0,0,0,0,0,0
184,@bobbystroupe,0,0,0,0,0,0
185,@Breitlingmax,0,0,0,0,0,0
186,@hroththeviking,0,0,0,0,0,0
187,@VoiceofJP,0,0,0,0,0,1
188,@DeLandPodiatry,0,1,0,0,0,0
189,@JamesLi62731084,0,0,0,0,0,0
190,@DraRiveraMD,0,0,0,0,0,0
191,@RealBrianLouden,0,1,0,0,0,0
192,@TheJaniceTemple,0,0,0,0,0,0
193,@VampireLibby,0,0,0,0,0,0
194,@elisazied,0,0,0,0,0,0
195,@katiewr31413491,0,0,0,0,0,1
196,@NormanDeArmond,0,0,0,0,0,0
197,@Charlieray4444,0,0,0,0,0,0
